# XPERT Moto 10-year cost model (AUD/month unless noted). fx USD->AUD=1.5, growth=20%/yr.
# Scope: operational running costs (SMS/email/analytics/errors/storage) + infrastructure.
# EXCLUDED per brief: Stripe pass-through fees, Anthropic AI, Xero. Owned-HW excludes ops labour.
# Sizing basis: load test — 1 vCPU app saturates ~20-27 req/s; realistic peak <1 req/s (≥100x headroom).
year,bookings_mo,visitors_mo,sms_aud,email_aud,posthog_aud,sentry_aud,storage_gb_cum,storage_aud,ops_total_aud_mo,aws_aud_mo,vps_aud_mo,owned_aud_mo
1,500,7200,186,30,0,39,9,0.1,255,300,52,345
2,600,8640,221,30,0,39,19,0.2,290,300,52,345
3,720,10368,263,30,0,39,32,0.3,332,300,52,345
4,864,12442,313,30,0,39,47,0.4,382,300,52,345
5,1037,14930,373,30,0,39,65,0.6,442,300,52,345
6,1244,17916,445,30,0,39,87,0.8,515,380,52,345
7,1493,21499,531,30,0,39,114,1.0,601,380,90,345
8,1792,25799,635,30,0,39,145,1.3,705,380,90,345
9,2150,30959,760,30,0,39,183,1.6,830,380,90,345
10,2580,37150,909,30,0,39,228,2.1,980,380,90,345
