ts,container,cpu_pct,mem_used,mem_pct
1780066800,xpltest-app-1,16.82,274.7MiB/1GiB,26.83
1780066800,xpltest-postgres-1,3.03,156.4MiB/2GiB,7.64
1780066800,xpltest-redis-1,1.13,10.25MiB/512MiB,2.00
1780066800,xpltest-worker-1,2.45,281MiB/512MiB,54.88
1780066804,xpltest-app-1,14.49,280.5MiB/1GiB,27.39
1780066804,xpltest-postgres-1,5.78,153.9MiB/2GiB,7.52
1780066804,xpltest-redis-1,3.90,10.25MiB/512MiB,2.00
1780066804,xpltest-worker-1,0.31,280.9MiB/512MiB,54.86
1780066807,xpltest-app-1,14.75,280.9MiB/1GiB,27.43
1780066807,xpltest-postgres-1,1.21,154.2MiB/2GiB,7.53
1780066807,xpltest-redis-1,1.25,10.25MiB/512MiB,2.00
1780066807,xpltest-worker-1,0.41,279.9MiB/512MiB,54.67
1780066811,xpltest-app-1,14.27,281.4MiB/1GiB,27.48
1780066811,xpltest-postgres-1,0.70,154.3MiB/2GiB,7.53
1780066811,xpltest-redis-1,0.99,10.47MiB/512MiB,2.05
1780066811,xpltest-worker-1,0.39,279.4MiB/512MiB,54.58
1780066814,xpltest-app-1,9.24,282.3MiB/1GiB,27.56
1780066814,xpltest-postgres-1,0.57,154.3MiB/2GiB,7.54
1780066814,xpltest-redis-1,0.98,10.22MiB/512MiB,2.00
1780066814,xpltest-worker-1,0.22,279.6MiB/512MiB,54.60
1780066818,xpltest-app-1,12.99,278.5MiB/1GiB,27.20
1780066818,xpltest-postgres-1,1.14,154.3MiB/2GiB,7.54
1780066818,xpltest-redis-1,1.35,10.22MiB/512MiB,2.00
1780066818,xpltest-worker-1,1.33,279.3MiB/512MiB,54.54
1780066821,xpltest-app-1,28.75,278.4MiB/1GiB,27.19
1780066821,xpltest-postgres-1,1.32,154.7MiB/2GiB,7.56
1780066821,xpltest-redis-1,1.05,10.23MiB/512MiB,2.00
1780066821,xpltest-worker-1,0.33,279.4MiB/512MiB,54.58
1780066825,xpltest-app-1,12.05,278.8MiB/1GiB,27.23
1780066825,xpltest-postgres-1,0.73,153.6MiB/2GiB,7.50
1780066825,xpltest-redis-1,1.25,10.24MiB/512MiB,2.00
1780066825,xpltest-worker-1,0.37,279.6MiB/512MiB,54.61
1780066828,xpltest-app-1,10.14,279.3MiB/1GiB,27.27
1780066828,xpltest-postgres-1,0.69,153.7MiB/2GiB,7.50
