ts,container,cpu_pct,mem_used,mem_pct
1780066895,xpltest-app-1,41.52,289.2MiB/1GiB,28.24
1780066895,xpltest-postgres-1,2.18,155.3MiB/2GiB,7.58
1780066895,xpltest-redis-1,1.78,10.23MiB/512MiB,2.00
1780066895,xpltest-worker-1,0.20,279.3MiB/512MiB,54.55
1780066898,xpltest-app-1,47.73,316.5MiB/1GiB,30.91
1780066898,xpltest-postgres-1,2.02,155.5MiB/2GiB,7.59
1780066898,xpltest-redis-1,1.19,10.22MiB/512MiB,2.00
1780066898,xpltest-worker-1,0.86,278.8MiB/512MiB,54.46
1780066902,xpltest-app-1,40.66,332.2MiB/1GiB,32.44
1780066902,xpltest-postgres-1,4.64,152.7MiB/2GiB,7.46
1780066902,xpltest-redis-1,0.87,10.21MiB/512MiB,2.00
1780066902,xpltest-worker-1,0.09,278.9MiB/512MiB,54.48
1780066905,xpltest-app-1,46.64,341.7MiB/1GiB,33.37
1780066905,xpltest-postgres-1,4.61,154.1MiB/2GiB,7.53
1780066905,xpltest-redis-1,2.54,10.21MiB/512MiB,2.00
1780066905,xpltest-worker-1,0.21,279MiB/512MiB,54.50
1780066909,xpltest-app-1,44.33,355.7MiB/1GiB,34.73
1780066909,xpltest-postgres-1,3.29,155.2MiB/2GiB,7.58
1780066909,xpltest-redis-1,1.42,10.22MiB/512MiB,2.00
1780066909,xpltest-worker-1,0.73,278.8MiB/512MiB,54.46
1780066912,xpltest-app-1,45.19,358.5MiB/1GiB,35.01
1780066912,xpltest-postgres-1,2.30,155.5MiB/2GiB,7.59
1780066912,xpltest-redis-1,0.69,10.16MiB/512MiB,1.99
1780066912,xpltest-worker-1,0.17,278.9MiB/512MiB,54.47
1780066916,xpltest-app-1,68.45,364.5MiB/1GiB,35.59
1780066916,xpltest-postgres-1,3.29,156.2MiB/2GiB,7.63
1780066916,xpltest-redis-1,0.99,10.18MiB/512MiB,1.99
1780066916,xpltest-worker-1,0.07,279.1MiB/512MiB,54.50
1780066919,xpltest-app-1,49.99,369.1MiB/1GiB,36.04
1780066919,xpltest-postgres-1,4.24,156.2MiB/2GiB,7.63
1780066919,xpltest-redis-1,0.68,10.23MiB/512MiB,2.00
1780066919,xpltest-worker-1,0.99,279.1MiB/512MiB,54.50
1780066923,xpltest-app-1,43.36,378MiB/1GiB,36.91
1780066923,xpltest-postgres-1,2.51,156.4MiB/2GiB,7.64
1780066923,xpltest-redis-1,0.78,10.23MiB/512MiB,2.00
1780066923,xpltest-worker-1,0.20,279.4MiB/512MiB,54.58
1780066926,xpltest-app-1,47.35,382.1MiB/1GiB,37.32
1780066926,xpltest-postgres-1,2.39,156.3MiB/2GiB,7.63
1780066926,xpltest-redis-1,2.30,10.23MiB/512MiB,2.00
1780066926,xpltest-worker-1,0.17,279.1MiB/512MiB,54.50
1780066930,xpltest-app-1,38.01,389.8MiB/1GiB,38.06
1780066930,xpltest-postgres-1,4.85,156.4MiB/2GiB,7.64
1780066930,xpltest-redis-1,3.38,10.25MiB/512MiB,2.00
1780066930,xpltest-worker-1,0.96,279.6MiB/512MiB,54.61
1780066933,xpltest-app-1,39.34,393MiB/1GiB,38.38
1780066933,xpltest-postgres-1,2.50,156.7MiB/2GiB,7.65
1780066933,xpltest-redis-1,1.07,10.16MiB/512MiB,1.98
1780066933,xpltest-worker-1,0.16,279.5MiB/512MiB,54.59
1780066937,xpltest-app-1,65.79,407.5MiB/1GiB,39.79
1780066937,xpltest-postgres-1,1.99,156.4MiB/2GiB,7.64
1780066937,xpltest-redis-1,0.86,10.16MiB/512MiB,1.98
1780066937,xpltest-worker-1,0.10,279.6MiB/512MiB,54.61
1780066941,xpltest-app-1,48.83,407.8MiB/1GiB,39.82
1780066941,xpltest-postgres-1,5.06,156.9MiB/2GiB,7.66
1780066941,xpltest-redis-1,2.59,10.18MiB/512MiB,1.99
1780066941,xpltest-worker-1,0.76,279.2MiB/512MiB,54.52
1780066944,xpltest-app-1,44.45,414.4MiB/1GiB,40.47
1780066944,xpltest-postgres-1,2.51,156.9MiB/2GiB,7.66
1780066944,xpltest-redis-1,0.86,10.18MiB/512MiB,1.99
1780066944,xpltest-worker-1,0.33,279.3MiB/512MiB,54.56
1780066948,xpltest-app-1,47.25,420.8MiB/1GiB,41.09
1780066948,xpltest-postgres-1,2.14,157MiB/2GiB,7.67
1780066948,xpltest-redis-1,0.79,10.43MiB/512MiB,2.04
1780066948,xpltest-worker-1,0.46,279.9MiB/512MiB,54.67
1780066951,xpltest-app-1,55.94,424.2MiB/1GiB,41.43
1780066951,xpltest-postgres-1,1.83,157.7MiB/2GiB,7.70
1780066951,xpltest-redis-1,0.99,10.18MiB/512MiB,1.99
1780066951,xpltest-worker-1,0.09,279.8MiB/512MiB,54.65
1780066955,xpltest-app-1,54.12,432.6MiB/1GiB,42.25
1780066955,xpltest-postgres-1,1.82,157.3MiB/2GiB,7.68
1780066955,xpltest-redis-1,1.71,10.43MiB/512MiB,2.04
1780066955,xpltest-worker-1,0.20,279.7MiB/512MiB,54.63
1780066958,xpltest-app-1,24.59,436.5MiB/1GiB,42.63
1780066958,xpltest-postgres-1,1.15,157.4MiB/2GiB,7.68
