ts,container,cpu_pct,mem_used,mem_pct
1780067381,xpltest-app-1,5.08,318.2MiB/1GiB,31.07
1780067381,xpltest-postgres-1,2.19,169.7MiB/2GiB,8.29
1780067381,xpltest-redis-1,1.95,10.06MiB/512MiB,1.96
1780067381,xpltest-worker-1,0.60,278.4MiB/512MiB,54.38
1780067383,xpltest-app-1,15.28,318.2MiB/1GiB,31.08
1780067383,xpltest-postgres-1,1.59,169.7MiB/2GiB,8.28
1780067383,xpltest-redis-1,0.71,10.13MiB/512MiB,1.98
1780067383,xpltest-worker-1,0.06,278.2MiB/512MiB,54.34
1780067387,xpltest-app-1,16.81,318.3MiB/1GiB,31.09
1780067387,xpltest-postgres-1,1.81,169.7MiB/2GiB,8.28
1780067387,xpltest-redis-1,0.64,9.875MiB/512MiB,1.93
1780067387,xpltest-worker-1,0.45,278.7MiB/512MiB,54.43
1780067390,xpltest-app-1,34.79,318.4MiB/1GiB,31.09
1780067390,xpltest-postgres-1,6.11,169.7MiB/2GiB,8.29
1780067390,xpltest-redis-1,1.24,9.98MiB/512MiB,1.95
1780067390,xpltest-worker-1,0.79,278.4MiB/512MiB,54.38
1780067394,xpltest-app-1,35.38,318.5MiB/1GiB,31.10
1780067394,xpltest-postgres-1,3.60,169.8MiB/2GiB,8.29
1780067394,xpltest-redis-1,1.09,9.898MiB/512MiB,1.93
1780067394,xpltest-worker-1,0.21,278.8MiB/512MiB,54.46
1780067398,xpltest-app-1,34.85,318.7MiB/1GiB,31.12
1780067398,xpltest-postgres-1,9.58,168.8MiB/2GiB,8.24
1780067398,xpltest-redis-1,1.00,9.969MiB/512MiB,1.95
1780067398,xpltest-worker-1,0.32,279MiB/512MiB,54.49
1780067401,xpltest-app-1,43.56,318.8MiB/1GiB,31.14
1780067401,xpltest-postgres-1,4.41,167.9MiB/2GiB,8.20
1780067401,xpltest-redis-1,1.06,10.16MiB/512MiB,1.98
1780067401,xpltest-worker-1,1.88,280.1MiB/512MiB,54.71
1780067405,xpltest-app-1,51.79,324.1MiB/1GiB,31.65
1780067405,xpltest-postgres-1,4.55,167.7MiB/2GiB,8.19
1780067405,xpltest-redis-1,0.95,10.12MiB/512MiB,1.98
1780067405,xpltest-worker-1,0.17,279.4MiB/512MiB,54.58
1780067408,xpltest-app-1,55.12,323.9MiB/1GiB,31.63
1780067408,xpltest-postgres-1,5.38,168MiB/2GiB,8.20
1780067408,xpltest-redis-1,1.32,10.12MiB/512MiB,1.98
1780067408,xpltest-worker-1,0.31,279.5MiB/512MiB,54.58
1780067412,xpltest-app-1,67.59,302.5MiB/1GiB,29.54
1780067412,xpltest-postgres-1,6.82,167.9MiB/2GiB,8.20
1780067412,xpltest-redis-1,1.29,10.14MiB/512MiB,1.98
1780067412,xpltest-worker-1,0.39,279MiB/512MiB,54.49
1780067415,xpltest-app-1,72.44,303.1MiB/1GiB,29.60
1780067415,xpltest-postgres-1,8.39,168.3MiB/2GiB,8.22
1780067415,xpltest-redis-1,3.25,9.945MiB/512MiB,1.94
1780067415,xpltest-worker-1,0.24,279MiB/512MiB,54.49
1780067419,xpltest-app-1,73.41,304.7MiB/1GiB,29.76
