ts,container,cpu_pct,mem_used,mem_pct
1780067683,xpltest-app-1,78.00,420.4MiB/1GiB,41.06
1780067683,xpltest-postgres-1,5.02,162.1MiB/2GiB,7.91
1780067683,xpltest-redis-1,1.96,10.39MiB/512MiB,2.03
1780067683,xpltest-worker-1,0.19,278.6MiB/512MiB,54.41
1780067687,xpltest-app-1,66.81,424.2MiB/1GiB,41.43
1780067687,xpltest-postgres-1,2.84,165.1MiB/2GiB,8.06
1780067687,xpltest-redis-1,0.51,10.06MiB/512MiB,1.96
1780067687,xpltest-worker-1,0.08,278.3MiB/512MiB,54.35
1780067690,xpltest-app-1,100.36,382.4MiB/1GiB,37.35
1780067690,xpltest-postgres-1,4.84,167.6MiB/2GiB,8.18
1780067690,xpltest-redis-1,1.06,10.06MiB/512MiB,1.96
1780067690,xpltest-worker-1,0.22,278.4MiB/512MiB,54.38
1780067694,xpltest-app-1,101.22,368.5MiB/1GiB,35.98
1780067694,xpltest-postgres-1,6.55,170.6MiB/2GiB,8.33
1780067694,xpltest-redis-1,2.37,10.15MiB/512MiB,1.98
1780067694,xpltest-worker-1,0.76,278.1MiB/512MiB,54.32
1780067697,xpltest-app-1,99.05,369.1MiB/1GiB,36.04
1780067697,xpltest-postgres-1,3.71,173.5MiB/2GiB,8.47
1780067697,xpltest-redis-1,0.38,10.04MiB/512MiB,1.96
1780067697,xpltest-worker-1,0.15,278.7MiB/512MiB,54.44
1780067701,xpltest-app-1,47.59,371.1MiB/1GiB,36.24
1780067701,xpltest-postgres-1,2.30,179.2MiB/2GiB,8.75
1780067701,xpltest-redis-1,0.36,10.11MiB/512MiB,1.97
1780067701,xpltest-worker-1,0.25,280.8MiB/512MiB,54.84
1780067705,xpltest-app-1,3.10,371.1MiB/1GiB,36.24
1780067705,xpltest-postgres-1,0.17,179MiB/2GiB,8.74
1780067705,xpltest-redis-1,0.29,10.48MiB/512MiB,2.05
1780067705,xpltest-worker-1,0.31,280.3MiB/512MiB,54.74
1780067708,xpltest-app-1,2.21,371MiB/1GiB,36.23
1780067708,xpltest-postgres-1,0.23,179MiB/2GiB,8.74
1780067708,xpltest-redis-1,0.26,10.34MiB/512MiB,2.02
1780067708,xpltest-worker-1,0.30,279.3MiB/512MiB,54.54
1780067712,xpltest-app-1,4.75,371MiB/1GiB,36.23
1780067712,xpltest-postgres-1,0.34,179MiB/2GiB,8.74
1780067712,xpltest-redis-1,0.78,10.13MiB/512MiB,1.98
1780067712,xpltest-worker-1,0.59,279.3MiB/512MiB,54.55
1780067715,xpltest-app-1,7.00,371MiB/1GiB,36.23
1780067715,xpltest-postgres-1,0.99,179MiB/2GiB,8.74
1780067715,xpltest-redis-1,1.09,10.13MiB/512MiB,1.98
1780067715,xpltest-worker-1,0.22,279.1MiB/512MiB,54.50
1780067719,xpltest-app-1,2.51,371MiB/1GiB,36.23
1780067719,xpltest-postgres-1,1.86,179MiB/2GiB,8.74
1780067719,xpltest-redis-1,1.67,10.05MiB/512MiB,1.96
1780067719,xpltest-worker-1,0.24,278.8MiB/512MiB,54.46
1780067722,xpltest-app-1,3.73,371MiB/1GiB,36.23
1780067722,xpltest-postgres-1,0.18,179MiB/2GiB,8.74
1780067722,xpltest-redis-1,0.27,10.09MiB/512MiB,1.97
1780067722,xpltest-worker-1,0.24,278.9MiB/512MiB,54.47
1780067726,xpltest-app-1,2.17,371MiB/1GiB,36.23
1780067726,xpltest-postgres-1,0.16,179MiB/2GiB,8.74
1780067726,xpltest-redis-1,0.27,10.16MiB/512MiB,1.99
1780067726,xpltest-worker-1,0.41,278.7MiB/512MiB,54.44
1780067729,xpltest-app-1,2.70,330.7MiB/1GiB,32.30
1780067729,xpltest-postgres-1,1.35,179.1MiB/2GiB,8.74
1780067729,xpltest-redis-1,1.27,10.33MiB/512MiB,2.02
1780067729,xpltest-worker-1,0.10,278.8MiB/512MiB,54.45
1780067733,xpltest-app-1,3.09,334.5MiB/1GiB,32.67
1780067733,xpltest-postgres-1,0.17,179.1MiB/2GiB,8.74
1780067733,xpltest-redis-1,0.30,10.14MiB/512MiB,1.98
1780067733,xpltest-worker-1,0.13,279.2MiB/512MiB,54.53
1780067736,xpltest-app-1,20.44,302.2MiB/1GiB,29.52
1780067736,xpltest-postgres-1,0.27,179.1MiB/2GiB,8.74
1780067736,xpltest-redis-1,0.27,10.27MiB/512MiB,2.01
1780067736,xpltest-worker-1,0.08,279.1MiB/512MiB,54.51
1780067740,xpltest-app-1,4.22,305.5MiB/1GiB,29.83
1780067740,xpltest-postgres-1,0.27,179.1MiB/2GiB,8.74
1780067740,xpltest-redis-1,0.33,10.02MiB/512MiB,1.96
1780067740,xpltest-worker-1,0.23,279.1MiB/512MiB,54.51
1780067743,xpltest-app-1,5.90,306.8MiB/1GiB,29.96
1780067743,xpltest-postgres-1,0.28,179.1MiB/2GiB,8.75
1780067743,xpltest-redis-1,0.34,10.1MiB/512MiB,1.97
1780067743,xpltest-worker-1,0.12,279.2MiB/512MiB,54.54
1780067747,xpltest-app-1,4.14,306.8MiB/1GiB,29.96
1780067747,xpltest-postgres-1,0.22,179.1MiB/2GiB,8.75
1780067747,xpltest-redis-1,0.27,9.996MiB/512MiB,1.95
1780067747,xpltest-worker-1,0.06,278.9MiB/512MiB,54.47
1780067750,xpltest-app-1,12.88,307.3MiB/1GiB,30.01
1780067750,xpltest-postgres-1,0.42,179.2MiB/2GiB,8.75
1780067750,xpltest-redis-1,0.49,10MiB/512MiB,1.95
1780067750,xpltest-worker-1,0.16,279.2MiB/512MiB,54.53
1780067754,xpltest-app-1,50.50,308.2MiB/1GiB,30.10
1780067754,xpltest-postgres-1,2.64,179.2MiB/2GiB,8.75
1780067754,xpltest-redis-1,1.01,10.09MiB/512MiB,1.97
1780067754,xpltest-worker-1,1.62,278.8MiB/512MiB,54.46
1780067758,xpltest-app-1,14.24,308.4MiB/1GiB,30.12
1780067758,xpltest-postgres-1,0.62,179.2MiB/2GiB,8.75
1780067758,xpltest-redis-1,0.87,10.27MiB/512MiB,2.01
1780067758,xpltest-worker-1,0.18,279.4MiB/512MiB,54.58
1780067761,xpltest-app-1,14.22,308.5MiB/1GiB,30.13
1780067761,xpltest-postgres-1,0.72,179.3MiB/2GiB,8.75
1780067761,xpltest-redis-1,1.10,10.29MiB/512MiB,2.01
1780067761,xpltest-worker-1,0.56,279.3MiB/512MiB,54.55
1780067765,xpltest-app-1,15.50,308.5MiB/1GiB,30.13
1780067765,xpltest-postgres-1,1.83,181MiB/2GiB,8.84
1780067765,xpltest-redis-1,1.63,10.08MiB/512MiB,1.97
1780067765,xpltest-worker-1,0.46,278.9MiB/512MiB,54.47
1780067768,xpltest-app-1,18.62,310.1MiB/1GiB,30.28
1780067768,xpltest-postgres-1,1.01,179.3MiB/2GiB,8.75
1780067768,xpltest-redis-1,1.08,10.21MiB/512MiB,1.99
1780067768,xpltest-worker-1,0.20,278.9MiB/512MiB,54.48
1780067772,xpltest-app-1,17.03,311.8MiB/1GiB,30.44
1780067772,xpltest-postgres-1,0.66,179.3MiB/2GiB,8.75
