ts,container,cpu_pct,mem_used,mem_pct
1780067909,xpltest-app-1,46.61,357.2MiB/1GiB,34.89
1780067909,xpltest-postgres-1,0.14,182MiB/2GiB,8.89
1780067909,xpltest-redis-1,1.23,10.09MiB/512MiB,1.97
1780067909,xpltest-worker-1,0.54,278.8MiB/512MiB,54.45
1780067912,xpltest-app-1,42.60,361MiB/1GiB,35.25
1780067912,xpltest-postgres-1,1.91,182.2MiB/2GiB,8.89
1780067912,xpltest-redis-1,0.99,10.09MiB/512MiB,1.97
1780067912,xpltest-worker-1,1.53,278.6MiB/512MiB,54.42
1780067916,xpltest-app-1,50.82,359.4MiB/1GiB,35.10
1780067916,xpltest-postgres-1,5.24,181.9MiB/2GiB,8.88
1780067916,xpltest-redis-1,3.07,10.13MiB/512MiB,1.98
1780067916,xpltest-worker-1,0.31,278.4MiB/512MiB,54.37
1780067920,xpltest-app-1,50.30,371.6MiB/1GiB,36.29
1780067920,xpltest-postgres-1,1.69,182.2MiB/2GiB,8.89
1780067920,xpltest-redis-1,1.09,10.13MiB/512MiB,1.98
1780067920,xpltest-worker-1,0.11,278.7MiB/512MiB,54.43
1780067923,xpltest-app-1,43.65,370.7MiB/1GiB,36.20
1780067923,xpltest-postgres-1,3.30,182.2MiB/2GiB,8.90
1780067923,xpltest-redis-1,0.72,10.13MiB/512MiB,1.98
1780067923,xpltest-worker-1,0.22,278.5MiB/512MiB,54.39
1780067927,xpltest-app-1,49.67,376.3MiB/1GiB,36.75
1780067927,xpltest-postgres-1,5.55,182.3MiB/2GiB,8.90
1780067927,xpltest-redis-1,3.63,10.15MiB/512MiB,1.98
1780067927,xpltest-worker-1,0.28,278.9MiB/512MiB,54.48
1780067930,xpltest-app-1,44.38,382.3MiB/1GiB,37.34
1780067930,xpltest-postgres-1,2.03,182.8MiB/2GiB,8.93
1780067930,xpltest-redis-1,1.30,10.15MiB/512MiB,1.98
1780067930,xpltest-worker-1,0.23,278.7MiB/512MiB,54.44
1780067934,xpltest-app-1,49.88,387MiB/1GiB,37.79
1780067934,xpltest-postgres-1,2.19,183MiB/2GiB,8.94
1780067934,xpltest-redis-1,0.55,10.14MiB/512MiB,1.98
1780067934,xpltest-worker-1,0.17,278.5MiB/512MiB,54.40
1780067936,xpltest-app-1,50.01,393.1MiB/1GiB,38.39
1780067936,xpltest-postgres-1,4.02,183.4MiB/2GiB,8.96
1780067936,xpltest-redis-1,2.51,10.09MiB/512MiB,1.97
1780067936,xpltest-worker-1,0.39,279MiB/512MiB,54.49
1780067940,xpltest-app-1,53.09,399.2MiB/1GiB,38.98
1780067940,xpltest-postgres-1,2.67,183.2MiB/2GiB,8.94
1780067940,xpltest-redis-1,0.46,10.06MiB/512MiB,1.96
1780067940,xpltest-worker-1,0.51,279MiB/512MiB,54.49
1780067943,xpltest-app-1,50.98,410.8MiB/1GiB,40.12
1780067943,xpltest-postgres-1,2.47,183MiB/2GiB,8.93
1780067943,xpltest-redis-1,1.12,10.32MiB/512MiB,2.02
1780067943,xpltest-worker-1,0.44,278.9MiB/512MiB,54.48
1780067947,xpltest-app-1,42.94,408.4MiB/1GiB,39.88
1780067947,xpltest-postgres-1,5.17,183MiB/2GiB,8.93
1780067947,xpltest-redis-1,3.15,10.13MiB/512MiB,1.98
1780067947,xpltest-worker-1,0.20,278.6MiB/512MiB,54.42
1780067950,xpltest-app-1,47.78,417.1MiB/1GiB,40.73
1780067950,xpltest-postgres-1,1.86,183.4MiB/2GiB,8.95
1780067950,xpltest-redis-1,0.66,10.12MiB/512MiB,1.98
1780067950,xpltest-worker-1,0.22,278.9MiB/512MiB,54.47
1780067954,xpltest-app-1,29.34,420.5MiB/1GiB,41.07
1780067954,xpltest-postgres-1,1.82,183.4MiB/2GiB,8.95
1780067954,xpltest-redis-1,0.37,10.38MiB/512MiB,2.03
1780067954,xpltest-worker-1,0.18,279.1MiB/512MiB,54.51
1780067957,xpltest-app-1,23.06,427MiB/1GiB,41.70
1780067957,xpltest-postgres-1,0.98,183.4MiB/2GiB,8.96
1780067957,xpltest-redis-1,0.30,10.13MiB/512MiB,1.98
1780067957,xpltest-worker-1,0.19,278.6MiB/512MiB,54.41
1780067961,xpltest-app-1,35.87,430.5MiB/1GiB,42.05
1780067961,xpltest-postgres-1,1.07,183.5MiB/2GiB,8.96
1780067961,xpltest-redis-1,0.41,10.39MiB/512MiB,2.03
1780067961,xpltest-worker-1,0.23,278.3MiB/512MiB,54.35
1780067965,xpltest-app-1,26.79,439.3MiB/1GiB,42.90
1780067965,xpltest-postgres-1,3.58,175MiB/2GiB,8.55
1780067965,xpltest-redis-1,0.34,10.12MiB/512MiB,1.98
1780067965,xpltest-worker-1,0.20,278.2MiB/512MiB,54.34
1780067968,xpltest-app-1,23.03,444.9MiB/1GiB,43.45
1780067968,xpltest-postgres-1,2.06,176.2MiB/2GiB,8.60
1780067968,xpltest-redis-1,0.31,10.14MiB/512MiB,1.98
