ts,container,cpu_pct,mem_used,mem_pct
1780068167,xpltest-app-1,20.93,605.9MiB/1GiB,59.17
1780068167,xpltest-postgres-1,0.82,179.8MiB/2GiB,8.78
1780068167,xpltest-redis-1,0.68,10.13MiB/512MiB,1.98
1780068167,xpltest-worker-1,0.14,278.6MiB/512MiB,54.42
1780068171,xpltest-app-1,37.32,608.6MiB/1GiB,59.43
1780068171,xpltest-postgres-1,2.03,179.8MiB/2GiB,8.78
1780068171,xpltest-redis-1,0.72,9.977MiB/512MiB,1.95
1780068171,xpltest-worker-1,0.32,279MiB/512MiB,54.49
1780068174,xpltest-app-1,38.21,613.3MiB/1GiB,59.89
1780068174,xpltest-postgres-1,2.78,180MiB/2GiB,8.79
1780068174,xpltest-redis-1,2.30,10.1MiB/512MiB,1.97
1780068174,xpltest-worker-1,0.69,279.2MiB/512MiB,54.53
1780068178,xpltest-app-1,46.60,616.1MiB/1GiB,60.17
1780068178,xpltest-postgres-1,2.94,179.9MiB/2GiB,8.78
1780068178,xpltest-redis-1,0.90,9.934MiB/512MiB,1.94
1780068178,xpltest-worker-1,0.08,279MiB/512MiB,54.50
1780068181,xpltest-app-1,56.89,618.7MiB/1GiB,60.42
1780068181,xpltest-postgres-1,2.16,180.2MiB/2GiB,8.80
1780068181,xpltest-redis-1,0.58,9.969MiB/512MiB,1.95
1780068181,xpltest-worker-1,0.40,279.5MiB/512MiB,54.59
1780068185,xpltest-app-1,99.63,623.3MiB/1GiB,60.87
1780068185,xpltest-postgres-1,1.33,180MiB/2GiB,8.79
1780068185,xpltest-redis-1,1.09,10.14MiB/512MiB,1.98
1780068185,xpltest-worker-1,0.40,279.3MiB/512MiB,54.56
1780068188,xpltest-app-1,65.01,628.2MiB/1GiB,61.35
1780068188,xpltest-postgres-1,1.72,180MiB/2GiB,8.79
1780068188,xpltest-redis-1,0.96,9.977MiB/512MiB,1.95
1780068188,xpltest-worker-1,0.29,279.5MiB/512MiB,54.58
1780068192,xpltest-app-1,41.17,634.1MiB/1GiB,61.92
1780068192,xpltest-postgres-1,2.20,180MiB/2GiB,8.79
1780068192,xpltest-redis-1,0.94,9.996MiB/512MiB,1.95
1780068192,xpltest-worker-1,0.45,279.3MiB/512MiB,54.56
1780068195,xpltest-app-1,50.69,635MiB/1GiB,62.01
1780068195,xpltest-postgres-1,3.52,180.2MiB/2GiB,8.80
1780068195,xpltest-redis-1,0.82,10.08MiB/512MiB,1.97
1780068195,xpltest-worker-1,0.69,279.5MiB/512MiB,54.59
1780068199,xpltest-app-1,37.68,626.7MiB/1GiB,61.20
1780068199,xpltest-postgres-1,1.90,180MiB/2GiB,8.79
1780068199,xpltest-redis-1,2.62,10.08MiB/512MiB,1.97
1780068199,xpltest-worker-1,0.30,279.2MiB/512MiB,54.54
1780068203,xpltest-app-1,39.07,632.6MiB/1GiB,61.78
1780068203,xpltest-postgres-1,2.21,180.3MiB/2GiB,8.80
1780068203,xpltest-redis-1,1.26,10.07MiB/512MiB,1.97
1780068203,xpltest-worker-1,0.84,279.1MiB/512MiB,54.50
1780068206,xpltest-app-1,42.19,639.8MiB/1GiB,62.48
1780068206,xpltest-postgres-1,2.69,180.5MiB/2GiB,8.82
1780068206,xpltest-redis-1,0.85,10.1MiB/512MiB,1.97
1780068206,xpltest-worker-1,0.23,279.5MiB/512MiB,54.59
1780068210,xpltest-app-1,59.27,642.3MiB/1GiB,62.72
1780068210,xpltest-postgres-1,4.92,180.3MiB/2GiB,8.80
1780068210,xpltest-redis-1,3.26,10.07MiB/512MiB,1.97
1780068210,xpltest-worker-1,0.60,279MiB/512MiB,54.49
1780068213,xpltest-app-1,67.95,637.7MiB/1GiB,62.27
1780068213,xpltest-postgres-1,2.73,180.7MiB/2GiB,8.82
1780068213,xpltest-redis-1,1.00,10.07MiB/512MiB,1.97
1780068213,xpltest-worker-1,0.63,279.1MiB/512MiB,54.50
1780068217,xpltest-app-1,104.59,636.4MiB/1GiB,62.15
1780068217,xpltest-postgres-1,2.34,180.3MiB/2GiB,8.80
1780068217,xpltest-redis-1,0.75,10.15MiB/512MiB,1.98
1780068217,xpltest-worker-1,0.17,279.5MiB/512MiB,54.58
1780068220,xpltest-app-1,96.42,647.4MiB/1GiB,63.22
1780068220,xpltest-postgres-1,2.48,180.5MiB/2GiB,8.81
1780068220,xpltest-redis-1,0.91,10.48MiB/512MiB,2.05
1780068220,xpltest-worker-1,0.13,279.4MiB/512MiB,54.58
1780068224,xpltest-app-1,82.36,637.7MiB/1GiB,62.27
1780068224,xpltest-postgres-1,1.98,180.7MiB/2GiB,8.83
1780068224,xpltest-redis-1,0.46,10.06MiB/512MiB,1.97
