ts,container,cpu_pct,mem_used,mem_pct
1780069384,xpltest-app-1,19.78,581.8MiB/1GiB,56.82
1780069384,xpltest-postgres-1,1.81,160.1MiB/2GiB,7.82
1780069384,xpltest-redis-1,0.88,10.06MiB/512MiB,1.96
1780069384,xpltest-worker-1,0.00,0B/0B,0.00
1780069387,xpltest-app-1,32.38,592.4MiB/1GiB,57.85
1780069387,xpltest-postgres-1,1.83,158.4MiB/2GiB,7.74
1780069387,xpltest-redis-1,1.02,10.16MiB/512MiB,1.98
1780069387,xpltest-worker-1,0.00,0B/0B,0.00
1780069391,xpltest-app-1,24.32,590.4MiB/1GiB,57.65
1780069391,xpltest-postgres-1,2.43,158.5MiB/2GiB,7.74
1780069391,xpltest-redis-1,0.96,9.91MiB/512MiB,1.94
1780069391,xpltest-worker-1,0.00,0B/0B,0.00
1780069394,xpltest-app-1,35.53,588MiB/1GiB,57.42
1780069394,xpltest-postgres-1,6.59,158.9MiB/2GiB,7.76
1780069394,xpltest-redis-1,0.85,9.91MiB/512MiB,1.94
1780069394,xpltest-worker-1,0.00,0B/0B,0.00
1780069398,xpltest-app-1,34.88,592.3MiB/1GiB,57.84
1780069398,xpltest-postgres-1,1.64,159.1MiB/2GiB,7.77
1780069398,xpltest-redis-1,3.97,9.75MiB/512MiB,1.90
1780069398,xpltest-worker-1,0.00,0B/0B,0.00
1780069401,xpltest-app-1,41.38,600.8MiB/1GiB,58.67
1780069401,xpltest-postgres-1,1.12,159.4MiB/2GiB,7.78
1780069401,xpltest-redis-1,0.51,10MiB/512MiB,1.95
1780069401,xpltest-worker-1,0.00,0B/0B,0.00
1780069405,xpltest-app-1,86.52,598.5MiB/1GiB,58.45
1780069405,xpltest-postgres-1,1.71,160.5MiB/2GiB,7.84
1780069405,xpltest-redis-1,0.92,9.75MiB/512MiB,1.90
1780069405,xpltest-worker-1,0.00,0B/0B,0.00
1780069409,xpltest-app-1,30.10,593MiB/1GiB,57.91
1780069409,xpltest-postgres-1,4.09,162.1MiB/2GiB,7.91
1780069409,xpltest-redis-1,2.59,9.75MiB/512MiB,1.90
1780069409,xpltest-worker-1,0.00,0B/0B,0.00
1780069412,xpltest-app-1,45.43,597MiB/1GiB,58.30
1780069412,xpltest-postgres-1,2.08,162.7MiB/2GiB,7.95
1780069412,xpltest-redis-1,0.90,9.75MiB/512MiB,1.90
1780069412,xpltest-worker-1,0.00,0B/0B,0.00
1780069416,xpltest-app-1,40.52,588.9MiB/1GiB,57.51
1780069416,xpltest-postgres-1,1.86,163MiB/2GiB,7.96
1780069416,xpltest-redis-1,0.92,9.75MiB/512MiB,1.90
1780069416,xpltest-worker-1,0.00,0B/0B,0.00
1780069419,xpltest-app-1,37.26,594.1MiB/1GiB,58.02
1780069419,xpltest-postgres-1,6.35,162.6MiB/2GiB,7.94
1780069419,xpltest-redis-1,0.92,9.75MiB/512MiB,1.90
1780069419,xpltest-worker-1,0.00,0B/0B,0.00
1780069423,xpltest-app-1,94.11,582.5MiB/1GiB,56.89
1780069423,xpltest-postgres-1,0.70,163.1MiB/2GiB,7.96
1780069423,xpltest-redis-1,0.90,9.754MiB/512MiB,1.91
1780069423,xpltest-worker-1,0.00,0B/0B,0.00
1780069426,xpltest-app-1,89.19,582.7MiB/1GiB,56.90
1780069426,xpltest-postgres-1,1.46,163.1MiB/2GiB,7.96
1780069426,xpltest-redis-1,0.76,10MiB/512MiB,1.95
1780069426,xpltest-worker-1,0.00,0B/0B,0.00
1780069430,xpltest-app-1,46.07,586.7MiB/1GiB,57.29
