ts,container,cpu_pct,mem_used,mem_pct
1780069509,xpltest-app-1,13.72,569.5MiB/1GiB,55.61
1780069509,xpltest-postgres-1,0.23,164.4MiB/2GiB,8.03
1780069509,xpltest-redis-1,0.80,9.715MiB/512MiB,1.90
1780069509,xpltest-worker-1,0.00,748KiB/512MiB,0.14
1780069512,xpltest-app-1,32.25,572.4MiB/1GiB,55.90
1780069512,xpltest-postgres-1,2.02,164.4MiB/2GiB,8.03
1780069512,xpltest-redis-1,1.06,9.715MiB/512MiB,1.90
1780069512,xpltest-worker-1,0.00,748KiB/512MiB,0.14
1780069516,xpltest-app-1,30.89,579.7MiB/1GiB,56.61
1780069516,xpltest-postgres-1,4.05,164.4MiB/2GiB,8.03
1780069516,xpltest-redis-1,0.80,9.715MiB/512MiB,1.90
1780069516,xpltest-worker-1,44.38,58.54MiB/512MiB,11.43
1780069519,xpltest-app-1,36.28,578.3MiB/1GiB,56.48
1780069519,xpltest-postgres-1,4.36,164.4MiB/2GiB,8.03
1780069519,xpltest-redis-1,2.98,9.965MiB/512MiB,1.95
1780069519,xpltest-worker-1,51.75,130.8MiB/512MiB,25.54
1780069523,xpltest-app-1,94.79,566MiB/1GiB,55.27
1780069523,xpltest-postgres-1,1.05,167.4MiB/2GiB,8.17
1780069523,xpltest-redis-1,4.17,11.23MiB/512MiB,2.19
1780069523,xpltest-worker-1,5.40,205.5MiB/512MiB,40.14
1780069526,xpltest-app-1,41.71,569.1MiB/1GiB,55.57
1780069526,xpltest-postgres-1,1.49,167.9MiB/2GiB,8.20
1780069526,xpltest-redis-1,0.99,11.18MiB/512MiB,2.18
1780069526,xpltest-worker-1,0.00,196.8MiB/512MiB,38.43
1780069530,xpltest-app-1,32.57,571.4MiB/1GiB,55.80
1780069530,xpltest-postgres-1,5.03,167.3MiB/2GiB,8.17
1780069530,xpltest-redis-1,2.50,11.18MiB/512MiB,2.18
1780069530,xpltest-worker-1,0.01,193.2MiB/512MiB,37.73
1780069533,xpltest-app-1,24.76,586.3MiB/1GiB,57.25
1780069533,xpltest-postgres-1,1.16,167.4MiB/2GiB,8.17
1780069533,xpltest-redis-1,1.18,11.09MiB/512MiB,2.17
1780069533,xpltest-worker-1,2.47,192.7MiB/512MiB,37.63
1780069537,xpltest-app-1,27.51,580.4MiB/1GiB,56.68
1780069537,xpltest-postgres-1,1.57,167.3MiB/2GiB,8.17
1780069537,xpltest-redis-1,0.89,11.09MiB/512MiB,2.17
1780069537,xpltest-worker-1,0.11,192.7MiB/512MiB,37.64
1780069541,xpltest-app-1,16.96,564.9MiB/1GiB,55.16
1780069541,xpltest-postgres-1,0.00,167.4MiB/2GiB,8.17
1780069541,xpltest-redis-1,0.99,10.09MiB/512MiB,1.97
1780069541,xpltest-worker-1,0.00,192.8MiB/512MiB,37.66
1780069544,xpltest-app-1,20.20,568.9MiB/1GiB,55.55
1780069544,xpltest-postgres-1,0.00,167.4MiB/2GiB,8.17
1780069544,xpltest-redis-1,0.99,10.4MiB/512MiB,2.03
1780069544,xpltest-worker-1,0.81,192.9MiB/512MiB,37.67
1780069548,xpltest-app-1,24.20,568.9MiB/1GiB,55.55
1780069548,xpltest-postgres-1,0.00,167.4MiB/2GiB,8.18
1780069548,xpltest-redis-1,1.12,10.4MiB/512MiB,2.03
1780069548,xpltest-worker-1,0.00,192.8MiB/512MiB,37.66
1780069551,xpltest-app-1,9.21,571.2MiB/1GiB,55.78
1780069551,xpltest-postgres-1,0.00,167.4MiB/2GiB,8.18
1780069551,xpltest-redis-1,1.13,10.41MiB/512MiB,2.03
1780069551,xpltest-worker-1,0.00,192.9MiB/512MiB,37.68
1780069555,xpltest-app-1,10.87,573.8MiB/1GiB,56.04
1780069555,xpltest-postgres-1,0.00,167.4MiB/2GiB,8.18
1780069555,xpltest-redis-1,3.91,10.42MiB/512MiB,2.04
1780069555,xpltest-worker-1,13.28,188MiB/512MiB,36.72
1780069558,xpltest-app-1,102.66,568MiB/1GiB,55.47
1780069558,xpltest-postgres-1,1.84,164.9MiB/2GiB,8.05
1780069558,xpltest-redis-1,0.68,10.35MiB/512MiB,2.02
1780069558,xpltest-worker-1,0.37,187.5MiB/512MiB,36.62
1780069562,xpltest-app-1,72.01,579.7MiB/1GiB,56.61
